outcome,model,term,estimate,conf.low,conf.high,p.value,sig,coef_ci,term_pretty
Formal evaluation outcome,Model 1: Baseline,ai_intensity,0.17669258627429987,-0.441458044205342,0.8097287405587429,0.5767126852128674,,"0.177 [-0.441, 0.810]",AI intensity
Formal evaluation outcome,Model 1: Baseline,task_standardization,0.21000957332229592,-0.5026786973884478,0.9403323861654572,0.5653013660911155,,"0.210 [-0.503, 0.940]",Task standardization
Formal evaluation outcome,Model 1: Baseline,tenure_years,-0.006590562748755105,-0.1172877468474027,0.1061940025850242,0.9065731033724685,,"-0.007 [-0.117, 0.106]",Tenure
Formal evaluation outcome,Model 1: Baseline,experience_years,-0.001786831044649766,-0.05047661955670001,0.04926732795680527,0.9433165948780393,,"-0.002 [-0.050, 0.049]",Experience
Formal evaluation outcome,Model 1: Baseline,hours_week,0.13170788877557044,-0.004356634539712682,0.29344277378212114,0.07413539903473575,,"0.132 [-0.004, 0.293]",Weekly hours
Formal evaluation outcome,Model 1: Baseline,ai_intensity:task_standardization,0.16929725355161937,-0.5940640754957934,0.9073379134251779,0.6524532102042726,,"0.169 [-0.594, 0.907]",AI intensity × task standardization
Formal evaluation outcome,Model 2: AI × digital comfort,ai_intensity,0.11817296329085941,-0.5599821936582838,0.7928035940103703,0.7290199648722447,,"0.118 [-0.560, 0.793]",AI intensity
Formal evaluation outcome,Model 2: AI × digital comfort,task_standardization,0.13605789228079926,-0.5994831092497738,0.8711373966071425,0.7119066845145625,,"0.136 [-0.599, 0.871]",Task standardization
Formal evaluation outcome,Model 2: AI × digital comfort,digital_comfort,1.886478530655316,0.8064934074275786,3.1766108117247738,0.001563365064161173,**,"1.886 [0.806, 3.177]",Digital comfort
Formal evaluation outcome,Model 2: AI × digital comfort,tenure_years,-0.031447337404611406,-0.1485893377811157,0.08509469842606171,0.5896587136954567,,"-0.031 [-0.149, 0.085]",Tenure
Formal evaluation outcome,Model 2: AI × digital comfort,experience_years,0.017468496669034477,-0.03458969162057519,0.07230828850055926,0.5147846694227179,,"0.017 [-0.035, 0.072]",Experience
Formal evaluation outcome,Model 2: AI × digital comfort,hours_week,0.17134594992562552,0.027722290616151304,0.3228828691477879,0.02074276447555288,*,"0.171 [0.028, 0.323]",Weekly hours
Formal evaluation outcome,Model 2: AI × digital comfort,ai_intensity:digital_comfort,1.4991613806897768,0.5052927874867136,2.6577626159474774,0.005465599334754089,**,"1.499 [0.505, 2.658]",AI intensity × digital comfort
Formal evaluation outcome,Model 3: Three-way interaction,ai_intensity,0.25797694100963237,-0.4924270603688762,1.0168455468673023,0.4967130590786867,,"0.258 [-0.492, 1.017]",AI intensity
Formal evaluation outcome,Model 3: Three-way interaction,task_standardization,0.2913778561357156,-0.5360450959517324,1.1721265945187074,0.49462300311983054,,"0.291 [-0.536, 1.172]",Task standardization
Formal evaluation outcome,Model 3: Three-way interaction,digital_comfort,2.0860818589863173,0.9000580627345078,3.5506034035018073,0.0016751213849388762,**,"2.086 [0.900, 3.551]",Digital comfort
Formal evaluation outcome,Model 3: Three-way interaction,tenure_years,0.010354883429319147,-0.11260415463227569,0.13870219335060174,0.8688720030293078,,"0.010 [-0.113, 0.139]",Tenure
Formal evaluation outcome,Model 3: Three-way interaction,experience_years,0.010288214242216915,-0.04486711617432393,0.06728694923373771,0.7126879859677777,,"0.010 [-0.045, 0.067]",Experience
Formal evaluation outcome,Model 3: Three-way interaction,hours_week,0.10920678614818165,-0.04474249937113663,0.26943361864092447,0.16448910487916563,,"0.109 [-0.045, 0.269]",Weekly hours
Formal evaluation outcome,Model 3: Three-way interaction,ai_intensity:task_standardization,0.6195322128419155,-0.27914406364508326,1.7569230062085395,0.2262463500583511,,"0.620 [-0.279, 1.757]",AI intensity × task standardization
Formal evaluation outcome,Model 3: Three-way interaction,ai_intensity:digital_comfort,1.1942026109135448,0.09183255389499036,2.4470700293034198,0.043106155415472455,*,"1.194 [0.092, 2.447]",AI intensity × digital comfort
Formal evaluation outcome,Model 3: Three-way interaction,task_standardization:digital_comfort,-1.789976276290486,-3.6078111418432033,-0.20826534993803358,0.03609081318946789,*,"-1.790 [-3.608, -0.208]",Task standardization × digital comfort
Formal evaluation outcome,Model 3: Three-way interaction,ai_intensity:task_standardization:digital_comfort,0.04504838757810413,-1.5058951619031784,1.4704047266636333,0.9519097918072563,,"0.045 [-1.506, 1.470]",AI intensity × task standardization × digital comfort
Relative performance,Model 1: Baseline,ai_intensity,0.5820730410999507,0.1132620027645972,1.074070247135025,0.016961553428445356,*,"0.582 [0.113, 1.074]",AI intensity
Relative performance,Model 1: Baseline,task_standardization,0.3000691565565988,-0.20601800054144753,0.8224959471676122,0.24923895812217015,,"0.300 [-0.206, 0.822]",Task standardization
Relative performance,Model 1: Baseline,tenure_years,-0.015584071119964217,-0.09894510357437268,0.06429928826225127,0.7047848094602627,,"-0.016 [-0.099, 0.064]",Tenure
Relative performance,Model 1: Baseline,experience_years,-0.007147292392305898,-0.04450631149455123,0.02979338921802504,0.7037031978933221,,"-0.007 [-0.045, 0.030]",Experience
Relative performance,Model 1: Baseline,hours_week,0.02782588335410572,-0.061204420354145285,0.12111475356440747,0.5417449564299536,,"0.028 [-0.061, 0.121]",Weekly hours
Relative performance,Model 1: Baseline,ai_intensity:task_standardization,0.147433424473701,-0.4650324466390907,0.7470786686283527,0.6294677131594896,,"0.147 [-0.465, 0.747]",AI intensity × task standardization
Relative performance,Model 2: AI × digital comfort,ai_intensity,0.49932756681533697,0.020314623354135242,0.9960216928922837,0.043783991519083514,*,"0.499 [0.020, 0.996]",AI intensity
Relative performance,Model 2: AI × digital comfort,task_standardization,0.26417740357070657,-0.24899123845173984,0.7941734437702961,0.31760990560019975,,"0.264 [-0.249, 0.794]",Task standardization
Relative performance,Model 2: AI × digital comfort,digital_comfort,0.655806626453605,0.08839505524227773,1.3053118328424076,0.03423951819437323,*,"0.656 [0.088, 1.305]",Digital comfort
Relative performance,Model 2: AI × digital comfort,tenure_years,-0.021486675282707826,-0.10838491627519775,0.06014220990170544,0.6126162726575568,,"-0.021 [-0.108, 0.060]",Tenure
Relative performance,Model 2: AI × digital comfort,experience_years,-0.0017373814199656429,-0.040172617532475835,0.036462568226984564,0.9286326198939279,,"-0.002 [-0.040, 0.036]",Experience
Relative performance,Model 2: AI × digital comfort,hours_week,0.031220593504959898,-0.058948598105418144,0.12214055902123094,0.490089377279391,,"0.031 [-0.059, 0.122]",Weekly hours
Relative performance,Model 2: AI × digital comfort,ai_intensity:digital_comfort,0.2521469479940821,-0.41598539828810255,0.9205402983003798,0.4550477281846756,,"0.252 [-0.416, 0.921]",AI intensity × digital comfort
Relative performance,Model 3: Three-way interaction,ai_intensity,0.6468200952727046,0.14501881675209913,1.1760433834625048,0.013249616499476232,*,"0.647 [0.145, 1.176]",AI intensity
Relative performance,Model 3: Three-way interaction,task_standardization,0.3897506878503215,-0.2173683569635651,1.0460628571561272,0.22192334548960266,,"0.390 [-0.217, 1.046]",Task standardization
Relative performance,Model 3: Three-way interaction,digital_comfort,0.9068512454863605,0.2890970276509038,1.6176376265581507,0.00718637353089098,**,"0.907 [0.289, 1.618]",Digital comfort
Relative performance,Model 3: Three-way interaction,tenure_years,-0.007873888561712295,-0.09814555552962721,0.07922296804778714,0.8604461018660571,,"-0.008 [-0.098, 0.079]",Tenure
Relative performance,Model 3: Three-way interaction,experience_years,-0.006324105221935004,-0.046270419080864655,0.032921562969843,0.7525400653497345,,"-0.006 [-0.046, 0.033]",Experience
Relative performance,Model 3: Three-way interaction,hours_week,0.025031334339287035,-0.0688009335092025,0.12109083997208007,0.5998116589621998,,"0.025 [-0.069, 0.121]",Weekly hours
Relative performance,Model 3: Three-way interaction,ai_intensity:task_standardization,0.32826402463211335,-0.34233541526106864,1.0069666668885202,0.32651938389293467,,"0.328 [-0.342, 1.007]",AI intensity × task standardization
Relative performance,Model 3: Three-way interaction,ai_intensity:digital_comfort,-0.20628474175043315,-0.9940280424596157,0.5534289951015905,0.5982724063574595,,"-0.206 [-0.994, 0.553]",AI intensity × digital comfort
Relative performance,Model 3: Three-way interaction,task_standardization:digital_comfort,-1.4529778356651106,-2.522268626869564,-0.4791693611611434,0.0054244279192074175,**,"-1.453 [-2.522, -0.479]",Task standardization × digital comfort
Relative performance,Model 3: Three-way interaction,ai_intensity:task_standardization:digital_comfort,0.492949439762991,-0.5359489720440515,1.5351927684778877,0.3444084228829642,,"0.493 [-0.536, 1.535]",AI intensity × task standardization × digital comfort
